100822	21.0206	SET `autocommit` = ?
50549	23.3681	SELECT `u1_0` . `user_id` , `u1_0` . `cookie_cnt` , `u1_0` . `created_at` , `u1_0` . `disliked_ingredients` , `u1_0` . `email` , `u1_0` . `is_cookeeps_onboarded` , `u1_0` . `is_first_ingredient_reward` , `u1_0` . `is_first_recipe_reward` , `u1_0` . `is_profile_auto_update` , `u1_0` . `last_access_at
50505	35.2879	UPDATE `users` SET `cookie_cnt` = ? , `disliked_ingredients` = ? , `email` = ? , `is_cookeeps_onboarded` = ? , `is_first_ingredient_reward` = ? , `is_first_recipe_reward` = ? , `is_profile_auto_update` = ? , `last_access_at` = ? , `marketing_consent` = ? , `marketing_push` = ? , `nickname` = ? , PAS
49207	1208.4447	COMMIT
1	0.0606	TRUNCATE TABLE `performance_schema` . `events_statements_summary_by_digest`
1	0.0168	FLUSH STATUS
1	0.0006	SELECT @@`version_comment` LIMIT ?
